sampleid,oils,ketones,acetate,phenols,quantity0,soluble_mixture,length,maceration time,quantity1,ingredient1,ingredient0,soluble_components,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,quantity2,quantity3,quantity4,quantity5,quantity6,quantity7,quantity8,quantity9,quantity10,quantity11,quantity12,quantity13,quantity14,quantity15,quantity16,quantity17,PROPERTY:Diffusion Rate (10^6),PROPERTY: Staining Factor,PROPERTY: color wavelength,PROPERTY: color,PROPERTY: Survey Results
PER9-66,3,1,0,2,93.8,6.2,6,72,4.92,WATER,ETHYL ALCOHOL,1.28,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,ARTEMISIA HERBA-ALBA HERB OIL,CYCLOHEXYLCYCLOHEXANONE,METHYLOCTENOL,CITROL,,,,,,,,,,,0.24022409,0.096806723,0.182857143,0.186442577,0.222296919,0.351372549,,,,,,,,,,,3330.15,0.36,642.259875,orange,84
PER83-323,2,1,0,0,93.72,6.28,3,10,4.98,WATER,ETHYL ALCOHOL,1.3,EUCALYPTUS SPECIES LEAF OIL,STYRAX TONKINENSIS RESIN OIL,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,,,,,,,,,,,,,,1.04,0.106363636,0.153636364,,,,,,,,,,,,,,3396.345,0.23,639.949,orange,45
PER14-458,5,0,0,0,93.7,6.3,5,26,4.99,WATER,ETHYL ALCOHOL,1.31,HELICHRYSUM STOECHAS FLOWER OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,CYPERUS SCARIOSUS ROOT OIL,ARTEMISIA HERBA-ALBA HERB OIL,COMMIPHORA ABYSSINICA GUM OIL,,,,,,,,,,,,0.365968254,0.00415873,0.341015873,0.199619048,0.399238095,,,,,,,,,,,,3461.53025,0.3,639.8825,orange,73
PER57-374,4,3,2,3,93.7,6.3,12,88,4.99,WATER,ETHYL ALCOHOL,1.31,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,MELILOTUS OFFICINALIS HERB OIL,THUJA PLICATA LEAF OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,ETHYL MYRISTATE,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,TRANS-ROSE KETONE-5,BUTYLOXEPANONE,4-METHYL-4-PHENYL-2-PENTANONE,2-O-CRESYLETHANOL,METHYLOCTENOL,NEROL,,,,,0.203118467,0.095853659,0.00456446,0.102700348,0.02738676,0.209965157,0.164320557,0.01597561,0.127804878,0.093571429,0.146062718,0.118675958,,,,,3496.93,0.19,639.8601275,orange,32
PER89-250,2,2,0,3,93.69,6.31,7,26,5,WATER,ETHYL ALCOHOL,1.31,PINUS MUGO PUMILIO TWIG LEAF OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,"3,4-DIHYDRO-8-METHYLNAPHTHALENONE",AMYLCYCLOPENTANONE,METHOXY-METHYLBUTANETHIOL,PINACOL,PHENYLPENTANOL,,,,,,,,,,0.174219949,0.127314578,0.214424552,0.140716113,0.278081841,0.154117647,0.22112532,,,,,,,,,,3525.756238,0.3,637.79,orange,83
PER75-277,7,2,0,2,93.69,6.31,11,33,5,WATER,ETHYL ALCOHOL,1.31,PELARGONIUM CRISPUM LEAF OIL,ARNICA MONTANA FLOWER OIL,MELILOTUS OFFICINALIS HERB OIL,EUCALYPTUS SPECIES LEAF OIL,LEVISTICUM OFFICINALE LEAF OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,THUJOPSIS DOLABRATA LEAF OIL,HEXENYLCYCLOPENTANONE,HEXENYLDIHYDROMETHYLFURANONE,PINACOL,CARVACROL,,,,,,0.198987342,0.113707052,0.213200723,0.040271248,0.12318264,0.168191682,0.132658228,0.116075949,0.042640145,0.068698011,0.09238698,,,,,,3549.12,0.22,635.9903654,orange,41
PER25-345,4,0,1,1,93.69,6.31,6,50,5,WATER,ETHYL ALCOHOL,1.31,COMMIPHORA MYRRHA GUM OIL,ARTEMISIA HERBA-ALBA HERB OIL,ORMENIS MULTICAULIS FLOWER OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,ISOTRIDECYL ACETATE,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,,,,,,,,0.202214765,0.140671141,0.215402685,0.312114094,0.32090604,0.118691275,,,,,,,,,,,3562.132,0.28,635.624695,orange,35
PER49-634,7,3,0,1,93.63,6.37,11,21,5.04,WATER,ETHYL ALCOHOL,1.33,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,THUJA PLICATA LEAF OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,SANTALUM SPICATA WOOD OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,COMMIPHORA MYRRHA GUM OIL,HYDROXYCITRONELLAL DIMETHYL ACETAL,DIMETHYLCYCLOHEXYL METHYL KETONE,GAMMA-DODECALACTONE,CYCLOHEXYLPROPANOL,,,,,,0.226275992,0.015085066,0.120680529,0.165935728,0.115652174,0.002514178,0.087996219,0.100567108,0.160907372,0.211190926,0.123194707,,,,,,3582.49,0.33,635.2560238,orange,77
PER55-486,6,3,0,1,93.6,6.4,10,40,5.06,WATER,ETHYL ALCOHOL,1.34,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,PELARGONIUM CRISPUM LEAF OIL,BAROSMA BETULINA LEAF OIL,STYRAX BENZOIN RESIN OIL,COMMIPHORA ABYSSINICA GUM OIL,MYROCARPUS FRONDOSUS WOOD OIL,4-METHYL-4-PHENYL-2-PENTANONE,DIMETHYLCYCLOHEXYL METHYL KETONE,GAMMA-DODECALACTONE,METHOXY-METHYLBUTANETHIOL,,,,,,,0.094035088,0.143189793,0.207304625,0.13891547,0.179521531,0.081212121,0.025645933,0.166698565,0.104720893,0.198755981,,,,,,,3585.96,0.14,635.1515,orange,40
PER6-570,7,2,1,4,93.54,6.46,14,39,5.1,WATER,ETHYL ALCOHOL,1.36,PINUS PALUSTRIS TWIG LEAF OIL,RAVENSARA AROMATICA TWIG OIL,COMMIPHORA MYRRHA GUM OIL,ANETHUM SOWA SEED OIL,COMMIPHORA ABYSSINICA GUM OIL,VITIS VINIFERA OIL,FOENICULUM VULGARE FRUIT OIL ,OCTYL ACETATE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,2-FURYL METHYL KETONE,AMYL ALCOHOL,"2,3,6-TRIMETHYLPHENOL",ISOBUTYL LINALOOL,2-DODECENOL,,,0.023731544,0.178899329,0.007302013,0.045637584,0.171597315,0.166120805,0.049288591,0.034684564,0.111355705,0.116832215,0.144214765,0.167946309,0.080322148,0.062067114,,,3589.070926,0.45,634.93,orange,63
PER4-52,7,3,2,0,93.54,6.46,12,50,5.1,WATER,ETHYL ALCOHOL,1.36,THYMUS SERPILLUM OIL,COMMIPHORA SCHIMPERI GUM OIL,RAVENSARA AROMATICA TWIG OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,IRIS PALLIDA ROOT OIL,JUNIPERUS MEXICANA WOOD OIL,ISOPENTYL CYCLOHEXYL ACETATE,TRANS-3-HEPTENYL ACETATE,METHOXYPHENYL-METHYLBUTANONE,METHYLHEPTENONE ISOMERS,GAMMA-CAPROLACTONE,,,,,0.042344322,0.117069597,0.04981685,0.204249084,0.176849817,0.082197802,0.141978022,0.047326007,0.044835165,0.194285714,0.094652015,0.164395604,,,,,3614.062,0.41,633.79,orange,42
PER19-541,7,2,2,3,93.51,6.49,14,55,5.12,WATER,ETHYL ALCOHOL,1.37,SANTALUM SPICATA WOOD OIL,LAVANDULA SPICA HERB OIL,ANETHUM SOWA SEED OIL,THYMUS SERPILLUM OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,THUJA OCCIDENTALIS STEM OIL,MELILOTUS OFFICINALIS HERB OIL,OCTYL ACETATE,CYCLODODECYL ACETATE,5-METHYL-2-HEPTEN-4-ONE,NEOHESPERIDIN DIHYDROCHALCONE,CARVACROL,DIPROPYLENE GLYCOL,"2,3,6-TRIMETHYLPHENOL",,,0.176577778,0.062918519,0.138014815,0.028414815,0.144103704,0.091333333,0.064948148,0.069007407,0.150192593,0.022325926,0.101481481,0.10757037,0.05682963,0.156281481,,,3621.96,0.47,633.7667634,orange,49
PER11-352,3,1,0,2,93.52,6.48,6,86,5.11,WATER,ETHYL ALCOHOL,1.37,PINUS MUGO PUMILIO TWIG LEAF OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,COMMIPHORA SCHIMPERI GUM OIL,CYCLOHEXYLIDENECYCLOHEXANONE,"2,3,6-TRIMETHYLPHENOL",BETA-METHYL-CYCLODODECANEETHANOL,,,,,,,,,,,0.335364583,0.0428125,0.328229167,0.2996875,0.17125,0.19265625,,,,,,,,,,,3626.3739,0.3,633.318,orange,43
PER21-442,7,0,1,2,93.49,6.51,10,31,5.13,WATER,ETHYL ALCOHOL,1.38,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,LEVISTICUM OFFICINALE LEAF OIL,STYRAX TONKINENSIS RESIN OIL,STYRAX BENZOIN RESIN OIL,EUCALYPTUS SPECIES LEAF OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,GUAIACOL PHENYLACETATE,3-ETHYLPHENOL,2-O-CRESYLETHANOL,,,,,,,0.04305026,0.191334489,0.217642981,0.203292894,0.188942808,0.210467938,0.002391681,0.165025997,0.026308492,0.131542461,,,,,,,3647.425,0.18,633.29805,orange,23
PER29-587,6,3,1,0,93.5,6.5,10,35,5.12,WATER,ETHYL ALCOHOL,1.38,CITRUS AURANTIUM LEAF OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,STYRAX BENZOIN RESIN OIL,IRIS PALLIDA ROOT OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,THYMUS SERPILLUM OIL,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,PENTAMETHYL-CYCLOPENT-1-ENYL METHYL KETONE,ISOPROPYL-METHYLBICYCLOHEXANONE,TRANS-5-METHYL-2-HEPTEN-4-ONE,,,,,,,0.02230303,0.097575758,0.267636364,0.220242424,0.052969697,0.214666667,0.041818182,0.147757576,0.064121212,0.250909091,,,,,,,3650.397,0.32,633.1468813,orange,81
PER8-14,4,1,0,1,93.37,6.63,6,61,5.21,WATER,ETHYL ALCOHOL,1.42,PELARGONIUM CRISPUM LEAF OIL,LEVISTICUM OFFICINALE LEAF OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,SANTALUM SPICATA WOOD OIL,HEXENYLCYCLOPENTANONE,PENTAMETHYLCYCLOHEXANEPROPANOL,,,,,,,,,,,0.35145,0.3053,0.15975,0.33725,0.0994,0.16685,,,,,,,,,,,3653,0.19,632.29,orange,27
PER53-339,4,2,1,1,93.29,6.71,8,31,5.26,WATER,ETHYL ALCOHOL,1.45,FOENICULUM VULGARE VULGARE FRUIT OIL,ARNICA MONTANA FLOWER OIL,LAVANDULA SPICA HERB OIL,HELICHRYSUM STOECHAS FLOWER OIL,DIMETHYL-5-HEXENYL ACETATE,HYDROXYCITRONELLAL DIMETHYL ACETAL,CYCLOHEXYLCYCLOHEXANONE,2-O-CRESYLETHANOL,,,,,,,,,0.222144847,0.012116992,0.214066852,0.343314763,0.121169916,0.21810585,0.274651811,0.044428969,,,,,,,,,3653.36,0.31,630.95155,orange,84
PER62-294,6,0,1,3,93.29,6.71,10,38,5.26,WATER,ETHYL ALCOHOL,1.45,COMMIPHORA ABYSSINICA GUM OIL,PELARGONIUM CRISPUM LEAF OIL,MELILOTUS OFFICINALIS HERB OIL,ORMENIS MULTICAULIS FLOWER OIL,LAVANDULA SPICA HERB OIL,HELICHRYSUM STOECHAS FLOWER OIL,M-CRESYL ACETATE,PHENYLPENTANOL,DIMETHYLPHENYL CARBINOL,FARNESOL,,,,,,,0.236788991,0.156972477,0.133027523,0.196880734,0.125045872,0.082477064,0.148990826,0.239449541,0.023944954,0.106422018,,,,,,,3658.67,0.22,630.888375,orange,29
PER63-163,2,2,0,0,93.29,6.71,4,52,5.26,WATER,ETHYL ALCOHOL,1.45,CITRUS PARADISI M. PEEL OIL EXPRESSED,PELARGONIUM CRISPUM LEAF OIL,ETHYL PROPYL KETONE,2-CYCLOHEXENYL CYCLOHEXANONE,,,,,,,,,,,,,0.195780591,0.220253165,0.550632911,0.483333333,,,,,,,,,,,,,3678.0569,0.37,630.8671211,orange,49
PER22-355,6,1,2,3,93.21,6.79,12,35,5.31,WATER,ETHYL ALCOHOL,1.48,STYRAX TONKINENSIS RESIN OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,COMMIPHORA ABYSSINICA GUM OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,ROSMARINUS OFFICINALIS FLOWER OIL,THUJA PLICATA LEAF OIL,ETHYL LACTATE,"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",BUTYLOXEPANONE,DIPROPYLENE GLYCOL,"2,3,6-TRIMETHYLPHENOL",DIMETHYLBENZYL CARBINOL,,,,,0.163462687,0.064059701,0.015462687,0.05080597,0.024298507,0.154626866,0.203223881,0.161253731,0.178925373,0.19438806,0.094985075,0.174507463,,,,,3686.204,0.13,629.9,orange,38
PER74-214,4,2,1,2,93.18,6.82,9,64,5.33,WATER,ETHYL ALCOHOL,1.49,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,PIMENTA OFFICINALIS FRUIT OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,ETHYL PHENOXYACETATE,2-HEPTYLCYCLOPENTANONE,3-BUTENYL PHENYL KETONE,NEROL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,,,,,,,,0.082777778,0.013796296,0.26212963,0.124166667,0.196597222,0.317314815,0.055185185,0.29662037,0.141412037,,,,,,,,3689.703705,0.26,628.9005,orange,47
PER80-533,7,0,0,4,93.16,6.84,11,41,5.34,WATER,ETHYL ALCOHOL,1.5,COMMIPHORA ABYSSINICA GUM OIL,STYRAX BENZOIN RESIN OIL,BAROSMA BETULINA LEAF OIL,EUCALYPTUS SPECIES LEAF OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,ANETHUM SOWA SEED OIL,COMMIPHORA MYRRHA GUM OIL,2-DODECENOL,GERANIOL,TRIMETHYL-2-CYCLOHEXENOL,3-ETHYLPHENOL,,,,,,0.126252505,0.036072144,0.186372745,0.057114228,0.231462926,0.018036072,0.270541082,0.261523046,0.072144289,0.04509018,0.195390782,,,,,,3701.02,0.26,627.72,orange,59
PER23-34,5,3,2,3,93.12,6.88,13,38,5.37,WATER,ETHYL ALCOHOL,1.51,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,THUJA OCCIDENTALIS STEM OIL,BAROSMA BETULINA LEAF OIL,THUJA PLICATA LEAF OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,P-TOLYL PHENYLACETATE,ETHYL CYCLOHEXYLACETATE,CYCLOHEXYLCYCLOHEXANONE,DELTA-UNDECALACTONE,3-BUTENYL PHENYL KETONE,2-HEXENOL,DIPROPYLENE GLYCOL,2-METHYLBUTANE-2-THIOL,,,,0.069208333,0.166729167,0.003145833,0.088083333,0.151,0.128979167,0.056625,0.305145833,0.308291667,0.11325,0.053479167,0.015729167,0.050333333,,,,3711.41325,0.21,626.8434603,orange,36
PER29-308,6,2,2,1,93.13,6.87,11,25,5.36,WATER,ETHYL ALCOHOL,1.51,EUCALYPTUS SPECIES LEAF OIL,ANETHUM SOWA SEED OIL,THUJA OCCIDENTALIS STEM OIL,CYPERUS SCARIOSUS ROOT OIL,IRIS PALLIDA ROOT OIL,COMMIPHORA ABYSSINICA GUM OIL,PHENETHYL PHENYLACETATE,GAMMA-METHYLCINNAMYL ACETATE,"3,4-DIHYDRO-6-METHYLNAPHTHALENONE",1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,GUAIACOL,,,,,,0.070892019,0.148873239,0.088615023,0.141784038,0.219765258,0.350915493,0.262300469,0.095704225,0.003544601,0.010633803,0.116971831,,,,,,3713.91215,0.2,626.71,orange,32
PER65-302,5,1,2,2,93.09,6.91,10,29,5.39,WATER,ETHYL ALCOHOL,1.52,CITRUS NOBILIS LEAF OIL,EUCALYPTUS SPECIES LEAF OIL,JUNIPERUS MEXICANA WOOD OIL,PIMENTA OFFICINALIS FRUIT OIL,THYMUS SERPILLUM OIL,CYCLODODECYL ACETATE,PROPYL ACETATE,AMYLCYCLOPENTANONE,2-HEXENOL,NEROL,,,,,,,0.329116809,0.12991453,0.09960114,0.03031339,0.372421652,0.069287749,0.238176638,0.112592593,0.004330484,0.134245014,,,,,,,3716.779,0.26,626.51,orange,26
PER36-311,3,3,2,1,93.06,6.94,9,82,5.41,WATER,ETHYL ALCOHOL,1.53,RAVENSARA AROMATICA TWIG OIL,EUCALYPTUS SMITHII LEAF OIL,ARTEMISIA HERBA-ALBA HERB OIL,OCTYL ACETATE,ETHYL PHENYLACETATE,BUTYROPHENONE,4-METHYLPENT-3-EN-2-ONE,METHYLHEPTENONE ISOMERS,"2-HEXYL-1,3-DIOXANOL",,,,,,,,0.125181818,0.228109091,0.133527273,0.097363636,0.269836364,0.186381818,0.150218182,0.203072727,0.136309091,,,,,,,,3716.853,0.17,626.4932226,orange,91
PER26-117,3,2,0,0,93.03,6.97,5,59,5.43,WATER,ETHYL ALCOHOL,1.54,JUNIPERUS MEXICANA WOOD OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,BAROSMA BETULINA LEAF OIL,ETHYL PROPYL KETONE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",,,,,,,,,,,,0.212978723,0.090106383,0.499680851,0.679893617,0.057340426,,,,,,,,,,,,3721.65,0.22,626.393925,orange,35
PER73-362,3,0,0,2,93.04,6.96,5,63,5.42,WATER,ETHYL ALCOHOL,1.54,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,PINUS PALUSTRIS TWIG LEAF OIL,PENTAMETHYLCYCLOHEXANEPROPANOL,FARNESOL,,,,,,,,,,,,0.047488987,0.359559471,0.454537445,0.624140969,0.054273128,,,,,,,,,,,,3722.049,0.28,626.1835,orange,51
PER58-38,6,0,2,4,93.03,6.97,12,85,5.43,WATER,ETHYL ALCOHOL,1.54,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,PELARGONIUM CRISPUM LEAF OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,EUCALYPTUS SMITHII LEAF OIL,BAROSMA BETULINA LEAF OIL,VITIS VINIFERA OIL,M-CRESYL ACETATE,1-METHYLDECYL ACETATE,PHENYLPENTANOL,TRIMETHYL-2-CYCLOHEXENOL,2-METHYLBUTANE-2-THIOL,AMYL ALCOHOL,,,,,0.134266843,0.065099075,0.146472919,0.170885073,0.138335535,0.077305152,0.026446499,0.150541612,0.148507266,0.181056803,0.122060766,0.179022457,,,,,3740.12,0.22,625.55,orange,69
PER89-444,6,0,0,1,93.01,6.99,7,71,5.44,WATER,ETHYL ALCOHOL,1.55,HELICHRYSUM STOECHAS FLOWER OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,FOENICULUM VULGARE FRUIT OIL ,ROSMARINUS OFFICINALIS FLOWER OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,THUJA OCCIDENTALIS STEM OIL,PENTAMETHYLCYCLOHEXANEPROPANOL,,,,,,,,,,0.16995614,0.261732456,0.288925439,0.010197368,0.248135965,0.254934211,0.316118421,,,,,,,,,,3741.152055,0.18,625.1005,orange,40
PER56-419,6,3,2,1,92.98,7.02,12,15,5.46,WATER,ETHYL ALCOHOL,1.56,CITRUS AURANTIUM LEAF OIL,ARTEMISIA HERBA-ALBA HERB OIL,STYRAX BENZOIN RESIN OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,EUCALYPTUS SPECIES LEAF OIL,VITIS VINIFERA OIL,DIMETHYLBUTYL ACETATE,LAURYL ACETATE,GAMMA-NONALACTONE,HEXENYLCYCLOPENTANONE,ETHYL PROPYL KETONE,TRIMETHYLTRICYCLODODECANOL,,,,,0.017727273,0.005064935,0.119025974,0.002532468,0.207662338,0.088636364,0.21525974,0.195,0.189935065,0.124090909,0.22538961,0.169675325,,,,,3749.5358,0.2,624.6521,orange,29
PER31-312,5,1,1,4,92.99,7.01,11,48,5.45,WATER,ETHYL ALCOHOL,1.56,ARNICA MONTANA FLOWER OIL,MELILOTUS OFFICINALIS HERB OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,FOENICULUM VULGARE FRUIT OIL ,BAROSMA BETULINA LEAF OIL,TETRAHYDROMUGYL ACETATE,ISOPROPYL-METHYLBICYCLOHEXANONE,2-HEXENOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,BETA-PINEN-3-OL,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",,,,,,0.238254545,0.022690909,0.235418182,0.252436364,0.017018182,0.204218182,0.164509091,0.130472727,0.113454545,0.034036364,0.147490909,,,,,,3752.16702,0.21,624.6331475,orange,31
PER39-300,3,3,2,2,92.95,7.05,10,33,5.48,WATER,ETHYL ALCOHOL,1.57,COMMIPHORA SCHIMPERI GUM OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,THUJOPSIS DOLABRATA LEAF OIL,TRANS-3-HEPTENYL ACETATE,5-MELOZOL ACETATE,CYCLOHEXYLIDENECYCLOHEXANONE,"3,4-DIHYDRO-8-METHYLNAPHTHALENONE","METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",PINACOL,2-METHYLBUTANE-2-THIOL,,,,,,,0.232784185,0.08276771,0.227611203,0.157775947,0.173294893,0.230197694,0.023278418,0.113805601,0.19398682,0.134497529,,,,,,,3764.249,0.34,624.59,orange,41
PER77-84,6,3,0,0,92.91,7.09,9,73,5.5,WATER,ETHYL ALCOHOL,1.59,RAVENSARA AROMATICA TWIG OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,FOENICULUM VULGARE VULGARE FRUIT OIL,VITIS VINIFERA OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,COMMIPHORA MYRRHA GUM OIL,CARVONE,CYCLOHEXYLIDENECYCLOHEXANONE,"3,4-DIHYDRO-8-METHYLNAPHTHALENONE",,,,,,,,0.3213125,0.2351875,0.231875,0.0563125,0.2948125,0.112625,0.1855,0.1026875,0.0496875,,,,,,,,3771.45,0.18,624.4895372,orange,89
PER68-180,5,1,1,1,92.91,7.09,8,83,5.5,WATER,ETHYL ALCOHOL,1.59,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,STYRAX BENZOIN RESIN OIL,COMMIPHORA ABYSSINICA GUM OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,CYMBOPOGON NARDUS HERB OIL,LAURYL ACETATE,PENTANEDIONE,AMYL ALCOHOL,,,,,,,,,0.241956522,0.107536232,0.019202899,0.284202899,0.12673913,0.361014493,0.157463768,0.291884058,,,,,,,,,3774.502088,0.51,623.6755,orange,70
PER79-255,4,1,2,1,92.75,7.25,8,41,5.61,WATER,ETHYL ALCOHOL,1.64,JUNIPERUS MEXICANA WOOD OIL,PINUS PALUSTRIS TWIG LEAF OIL,SANTALUM SPICATA WOOD OIL,HELICHRYSUM STOECHAS FLOWER OIL,DIMETHYL PHENYLETHYL CARBINYL ACETATE,RHODINYL ACETATE,CYCLOHEXYLIDENECYCLOHEXANONE,"2,3,6-TRIMETHYLPHENOL",,,,,,,,,0.119846154,0.230230769,0.154538462,0.041,0.236538462,0.261769231,0.312230769,0.283846154,,,,,,,,,3776.551543,0.23,623.08,orange,20
PER39-137,7,0,0,0,92.68,7.32,7,33,5.65,WATER,ETHYL ALCOHOL,1.67,VITIS VINIFERA OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,COMMIPHORA SCHIMPERI GUM OIL,IRIS PALLIDA ROOT OIL,EUCALYPTUS SPECIES LEAF OIL,LAVANDULA SPICA HERB OIL,,,,,,,,,,0.099297297,0.329486486,0.343027027,0.162486486,0.338513514,0.094783784,0.302405405,,,,,,,,,,3779.47135,0.3,622.48,orange,35
PER61-291,4,2,1,1,92.69,7.31,8,72,5.64,WATER,ETHYL ALCOHOL,1.67,ORMENIS MULTICAULIS FLOWER OIL,LAVANDULA SPICA HERB OIL,IRIS PALLIDA ROOT OIL,THUJOPSIS DOLABRATA LEAF OIL,ISOPROPYL-METHYLHEXENYL ACETATE,METHYLHEPTENONE ISOMERS,METHYL THIAZOLYL KETONE,AMYL ALCOHOL,,,,,,,,,0.172597765,0.270558659,0.004664804,0.051312849,0.415167598,0.321871508,0.405837989,0.027988827,,,,,,,,,3779.66905,0.17,622.4039725,orange,47
PER23-195,6,0,0,2,92.65,7.35,8,8,5.67,WATER,ETHYL ALCOHOL,1.68,CITRUS AURANTIUM LEAF OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,CYMBOPOGON NARDUS HERB OIL,LAVANDULA SPICA HERB OIL,BETA-METHYL-CYCLODODECANEETHANOL,PHENYLPENTANOL,,,,,,,,,0.026426966,0.362426966,0.320898876,0.222741573,0.128359551,0.132134831,0.135910112,0.351101124,,,,,,,,,3784.55905,0.21,622.3439563,orange,20
PER6-544,6,0,1,3,92.57,7.43,10,38,5.72,WATER,ETHYL ALCOHOL,1.71,IRIS PALLIDA ROOT OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,CYPERUS SCARIOSUS ROOT OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,ANETHUM SOWA SEED OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,ETHYL ACETATE,2-METHYLBUTANE-2-THIOL,TRIMETHYL-2-CYCLOHEXENOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,,,,,,,0.017592593,0.277962963,0.249814815,0.270925926,0.306111111,0.035185185,0.07037037,0.239259259,0.144259259,0.098518519,,,,,,,3784.64,0.19,621.67,orange,41
PER57-526,3,0,1,3,92.57,7.43,7,64,5.72,WATER,ETHYL ALCOHOL,1.71,PINUS MUGO PUMILIO TWIG LEAF OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,CITRUS AURANTIUM LEAF OIL,GAMMA-METHYLENEDIHYDROCINNAMYL ACETATE,2-O-CRESYLETHANOL,PINACOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,,,,,,,,,,0.188056266,0.424219949,0.148695652,0.021867008,0.279897698,0.319258312,0.328005115,,,,,,,,,,3802.892,0.26,621.405,orange,46
